,County,2022,total,pct
0,"Autauga , Alabama",59759,333287557,0.0001793016233126279
1,"Baldwin , Alabama",246435,333287557,0.000739406541961001
2,"Barbour , Alabama",24706,333287557,7.41281799488242e-05
3,"Bibb , Alabama",22005,333287557,6.602406701909966e-05
4,"Blount , Alabama",59512,333287557,0.00017856052153786227
5,"Bullock , Alabama",10202,333287557,3.0610203668659615e-05
6,"Butler , Alabama",18650,333287557,5.59576846128702e-05
7,"Calhoun , Alabama",115788,333287557,0.00034741170970268177
8,"Chambers , Alabama",34088,333287557,0.00010227804574174367
9,"Cherokee , Alabama",25302,333287557,7.591642552680117e-05
10,"Chilton , Alabama",45884,333287557,0.00013767090620787862
11,"Choctaw , Alabama",12439,333287557,3.732212541016045e-05
12,"Clarke , Alabama",22515,333287557,6.755427716132828e-05
13,"Clay , Alabama",14198,333287557,4.2599850194827405e-05
14,"Cleburne , Alabama",15346,333287557,4.6044323220863596e-05
15,"Coffee , Alabama",54805,333287557,0.00016443758204870516
16,"Colbert , Alabama",58033,333287557,0.00017412291212539927
17,"Conecuh , Alabama",11206,333287557,3.362261736041949e-05
18,"Coosa , Alabama",10166,333287557,3.0502188835090533e-05
19,"Covington , Alabama",37602,333287557,0.00011282149366290324
20,"Crenshaw , Alabama",13025,333287557,3.9080366867701574e-05
21,"Cullman , Alabama",90665,333287557,0.0002720323579316824
22,"Dale , Alabama",49544,333287557,0.00014865241428740168
23,"Dallas , Alabama",36767,333287557,0.00011031614960650932
24,"DeKalb , Alabama",71998,333287557,0.00021602366631407125
25,"Elmore , Alabama",89563,333287557,0.0002687259038596511
26,"Escambia , Alabama",36666,333287557,0.00011001310799010718
27,"Etowah , Alabama",103088,333287557,0.0003093064767491455
28,"Fayette , Alabama",16118,333287557,4.836064131851163e-05
29,"Franklin , Alabama",31932,333287557,9.580915737577325e-05
30,"Geneva , Alabama",26783,333287557,8.036003576335134e-05
31,"Greene , Alabama",7422,333287557,2.226905818749183e-05
32,"Hale , Alabama",14595,333287557,4.3791013776130865e-05
33,"Henry , Alabama",17655,333287557,5.29722746295026e-05
34,"Houston , Alabama",108079,333287557,0.00032428153325868086
35,"Jackson , Alabama",52891,333287557,0.00015869479339728247
36,"Jefferson , Alabama",665409,333287557,0.001996501177510206
37,"Lamar , Alabama",13705,333287557,4.1120647057339735e-05
38,"Lauderdale , Alabama",95878,333287557,0.0002876735059148938
39,"Lawrence , Alabama",33214,333287557,9.965568561564991e-05
40,"Lee , Alabama",180773,333287557,0.0005423934863550877
41,"Limestone , Alabama",110900,333287557,0.00033274569563363567
42,"Lowndes , Alabama",9777,333287557,2.9335028550135762e-05
43,"Macon , Alabama",18516,333287557,5.555562939902974e-05
44,"Madison , Alabama",403565,333287557,0.001210861286369596
45,"Marengo , Alabama",18745,333287557,5.624272375701083e-05
46,"Marion , Alabama",29156,333287557,8.748001354277982e-05
47,"Marshall , Alabama",99423,333287557,0.0002983099666094045
48,"Mobile , Alabama",411411,333287557,0.001234402519263568
49,"Monroe , Alabama",19404,333287557,5.8219995293733694e-05
